"TestID","question","answer"
"3464","On a scale of one to ten, how likely are you to recommend this to your friends?","10"
"3464","Do you have any specific suggestions for improvements?","no"
"3464","What additional features would you like to see?","nothing"
"3464","What other types of assessments would you like to see?","fev"
"3464","Would you be interested in a verified micro certification?","fv mi"
"3528","Please rate this assessment from one to five, five being the highest","5"
"3528","What did you love about Cloud Assessments and this assessment in particular?","10"
"3528","Why did you rate it the way you did?","erws"
"3528","Did you understand what was expected of you (was the scenario clear)?","sdsd"
"3528","Was the skill level appropriate for what we described?","sdsds"
"3528","On a scale of one to ten, how likely are you to recommend this to your friends?","10"
"3528","Do you have any specific suggestions for improvements?","dsdd"
"3528","What additional features would you like to see?","dsds"
"3528","What other types of assessments would you like to see?","dsds"
"3528","Would you be interested in a verified micro certification?","dsdsd"
"3469","Please rate this assessment from one to five, five being the highest","4"
"3469","What did you love about Cloud Assessments and this assessment in particular?","good"
"3469","Why did you rate it the way you did?","good"
"3469","Did you understand what was expected of you (was the scenario clear)?","good"
"3469","Was the skill level appropriate for what we described?","good"
"3469","On a scale of one to ten, how likely are you to recommend this to your friends?","9"
"3469","Do you have any specific suggestions for improvements?","good"
"3469","What additional features would you like to see?","good"
"3469","What other types of assessments would you like to see?","good"
"3469","Would you be interested in a verified micro certification?","yes"
"3463","Please rate this assessment from one to five, five being the highest","5"
"3463","What did you love about Cloud Assessments and this assessment in particular?","the way scenario framed is appreciable"
"3463","Why did you rate it the way you did?","Because. I wanted to be myself"
"3463","Did you understand what was expected of you (was the scenario clear)?","Yes. Scenario is crystal clear"
"3463","Was the skill level appropriate for what we described?","Yes"
"3463","On a scale of one to ten, how likely are you to recommend this to your friends?","10"
"3463","Do you have any specific suggestions for improvements?","No"
"3463","What additional features would you like to see?","Will tell you in next assessment"
"3463","What other types of assessments would you like to see?","all of aws concepts"
"3463","Would you be interested in a verified micro certification?","Yes"
"4144","Please rate this assessment from one to five, five being the highest","5"
"4144","What did you love about Cloud Assessments and this assessment in particular?","test"
"4144","Why did you rate it the way you did?","test"
"4144","Did you understand what was expected of you (was the scenario clear)?","test"
"4144","Was the skill level appropriate for what we described?","test"
"4144","On a scale of one to ten, how likely are you to recommend this to your friends?","10"
"4144","Do you have any specific suggestions for improvements?","test"
"4144","What additional features would you like to see?","test"
"4144","What other types of assessments would you like to see?","t"
"4144","Would you be interested in a verified micro certification?","test"
"3552","Please rate this assessment from one to five, five being the highest","5"
"3552","What did you love about Cloud Assessments and this assessment in particular?","good platform to test"
"3552","Why did you rate it the way you did?","good"
"3552","Did you understand what was expected of you (was the scenario clear)?","yes"
"3552","Was the skill level appropriate for what we described?","yes"
"3552","On a scale of one to ten, how likely are you to recommend this to your friends?","10"
"3552","Do you have any specific suggestions for improvements?","do not ask too many questions before starting the assessment, it is frustrating"
"3552","What additional features would you like to see?","none"
"3552","What other types of assessments would you like to see?","AWS"
"3552","Would you be interested in a verified micro certification?","No"
"3510","Please rate this assessment from one to five, five being the highest","5"
"3510","What did you love about Cloud Assessments and this assessment in particular?","It's a great opportunity to test AWS knowledge"
"3510","Why did you rate it the way you did?","It's a good test and opportunity to verify what I've learned about AWS"
"3510","Did you understand what was expected of you (was the scenario clear)?","Yes"
"3510","Was the skill level appropriate for what we described?","Intermediate"
"3510","On a scale of one to ten, how likely are you to recommend this to your friends?","10"
"3510","Do you have any specific suggestions for improvements?","Not at this time"
"3510","What additional features would you like to see?","More assessments would be great"
"3510","What other types of assessments would you like to see?","Cloudformation"
"3510","Would you be interested in a verified micro certification?","Yes"
"3590","Please rate this assessment from one to five, five being the highest","5"
"3590","What did you love about Cloud Assessments and this assessment in particular?","testing prod"
"3590","Why did you rate it the way you did?","testing prod"
"3590","Did you understand what was expected of you (was the scenario clear)?","testing prod"
"3590","Was the skill level appropriate for what we described?","testing prod"
"3590","On a scale of one to ten, how likely are you to recommend this to your friends?","10"
"3590","Do you have any specific suggestions for improvements?","testing prod"
"3590","What additional features would you like to see?","testing prod"
"3590","What other types of assessments would you like to see?","testing prod"
"3590","Would you be interested in a verified micro certification?","testing prod"
"3519","Please rate this assessment from one to five, five being the highest","5"
"3519","What did you love about Cloud Assessments and this assessment in particular?","NA"
"3519","Why did you rate it the way you did?","Type of question"
"3519","Did you understand what was expected of you (was the scenario clear)?","yes"
"3519","Was the skill level appropriate for what we described?","yes"
"3519","On a scale of one to ten, how likely are you to recommend this to your friends?","10"
"3519","Do you have any specific suggestions for improvements?","NA"
"3519","What additional features would you like to see?","NA"
"3519","What other types of assessments would you like to see?","NA"
"3519","Would you be interested in a verified micro certification?","YES"
"3505","Please rate this assessment from one to five, five being the highest","5"
"3505","What did you love about Cloud Assessments and this assessment in particular?","f"
"3505","Why did you rate it the way you did?","f"
"3505","Did you understand what was expected of you (was the scenario clear)?","f"
"3505","Was the skill level appropriate for what we described?","d"
"3505","On a scale of one to ten, how likely are you to recommend this to your friends?","10"
"3505","Do you have any specific suggestions for improvements?","s"
"3505","What additional features would you like to see?","s"
"3505","What other types of assessments would you like to see?","s"
"3505","Would you be interested in a verified micro certification?","n"
"3509","Please rate this assessment from one to five, five being the highest","5"
"3509","What did you love about Cloud Assessments and this assessment in particular?"," "
"3509","Why did you rate it the way you did?"," "
"3509","Did you understand what was expected of you (was the scenario clear)?"," "
"3509","Was the skill level appropriate for what we described?"," "
"3509","On a scale of one to ten, how likely are you to recommend this to your friends?","10"
"3509","Do you have any specific suggestions for improvements?"," "
"3509","What additional features would you like to see?"," "
"3509","What other types of assessments would you like to see?"," "
"3509","Would you be interested in a verified micro certification?"," "
"4045","Please rate this assessment from one to five, five being the highest","1"
"4045","What did you love about Cloud Assessments and this assessment in particular?","Nothing"
"4045","Why did you rate it the way you did?","This is advertisement for AWS, not a real learning experience."
"4045","Did you understand what was expected of you (was the scenario clear)?","Nope."
"4045","Was the skill level appropriate for what we described?","You forgot to describe it as advertisement."
"4045","On a scale of one to ten, how likely are you to recommend this to your friends?","1"
"4045","Do you have any specific suggestions for improvements?","Do a real tutorial or lecture, not advertisement!"
"4045","What additional features would you like to see?","Nope."
"4045","What other types of assessments would you like to see?","Nah."
"4045","Would you be interested in a verified micro certification?","I'm out of here ..."
"3503","Please rate this assessment from one to five, five being the highest","5"
"3503","What did you love about Cloud Assessments and this assessment in particular?","good"
"3503","Why did you rate it the way you did?","g"
"3503","Did you understand what was expected of you (was the scenario clear)?","gg"
"3503","Was the skill level appropriate for what we described?","g"
"3503","On a scale of one to ten, how likely are you to recommend this to your friends?","10"
"3503","Do you have any specific suggestions for improvements?","d"
"3503","What additional features would you like to see?","d"
"3503","What other types of assessments would you like to see?","on"
"3503","Would you be interested in a verified micro certification?","no"
"3929","Please rate this assessment from one to five, five being the highest","4"
"3929","What did you love about Cloud Assessments and this assessment in particular?","Got to work with an application Load balancer"
"3929","Why did you rate it the way you did?","Invaluable experiance"
"3929","Did you understand what was expected of you (was the scenario clear)?","Yes"
"3929","Was the skill level appropriate for what we described?","Yes"
"3929","On a scale of one to ten, how likely are you to recommend this to your friends?","10"
"3929","Do you have any specific suggestions for improvements?","none"
"3929","What additional features would you like to see?","Ability to use logs to troubleshoot"
"3929","What other types of assessments would you like to see?","Lots"
"3929","Would you be interested in a verified micro certification?","Yes"
"3595","Please rate this assessment from one to five, five being the highest","5"
"3595","What did you love about Cloud Assessments and this assessment in particular?","Test"
"3595","Why did you rate it the way you did?","test"
"3595","Did you understand what was expected of you (was the scenario clear)?","test"
"3595","Was the skill level appropriate for what we described?","test"
"3595","On a scale of one to ten, how likely are you to recommend this to your friends?","10"
"3595","Do you have any specific suggestions for improvements?","test"
"3595","What additional features would you like to see?","test"
"3595","What other types of assessments would you like to see?","test"
"3595","Would you be interested in a verified micro certification?","test"
"3714","Please rate this assessment from one to five, five being the highest","5"
"3714","What did you love about Cloud Assessments and this assessment in particular?","Cool tool"
"3714","Why did you rate it the way you did?","Loved it"
"3714","Did you understand what was expected of you (was the scenario clear)?","yes"
"3714","Was the skill level appropriate for what we described?","yes"
"3714","On a scale of one to ten, how likely are you to recommend this to your friends?","10"
"3714","Do you have any specific suggestions for improvements?","speed improvements needed"
"3714","What additional features would you like to see?","more content"
"3714","What other types of assessments would you like to see?","big data"
"3714","Would you be interested in a verified micro certification?","yep"
"3512","Please rate this assessment from one to five, five being the highest","4"
"3512","What did you love about Cloud Assessments and this assessment in particular?","Effective use of AutoScale & related configurations"
"3512","Why did you rate it the way you did?","I felt there could be more freedom in solution implementation or perhaps less pre-configured steps."
"3512","Did you understand what was expected of you (was the scenario clear)?","I believe so, but the grade will tell"
"3512","Was the skill level appropriate for what we described?","I believe so"
"3512","On a scale of one to ten, how likely are you to recommend this to your friends?","9"
"3512","Do you have any specific suggestions for improvements?","Make security group configuration be part of the evaluation instead of preconfiguring it"
"3512","What additional features would you like to see?","See prior response"
"3512","What other types of assessments would you like to see?","Additional levels of HA solution architecting, i.e. cross zone load balancing, static sites w/ s3 + cross zone replication"
"3512","Would you be interested in a verified micro certification?","I do not know what this means."
"3720","Please rate this assessment from one to five, five being the highest","5"
"3720","What did you love about Cloud Assessments and this assessment in particular?","test-chad-na"
"3720","Why did you rate it the way you did?","test-chad-na"
"3720","Did you understand what was expected of you (was the scenario clear)?"," test-chad-na"
"3720","Was the skill level appropriate for what we described?","test-chad-na"
"3720","On a scale of one to ten, how likely are you to recommend this to your friends?","10"
"3720","Do you have any specific suggestions for improvements?","test-chad-na"
"3720","What additional features would you like to see?","test-chad-na"
"3720","What other types of assessments would you like to see?","test-chad-na"
"3720","Would you be interested in a verified micro certification?","test-chad-na"
"3926","Please rate this assessment from one to five, five being the highest","5"
"3926","What did you love about Cloud Assessments and this assessment in particular?","real sceneria based assweesments , This is great to enhance our skill and work in real env"
"3926","Why did you rate it the way you did?","his is great to enhance our skill and work in real env"
"3926","Did you understand what was expected of you (was the scenario clear)?","yes Much clear "
"3926","Was the skill level appropriate for what we described?","ofcource"
"3926","On a scale of one to ten, how likely are you to recommend this to your friends?","10"
"3926","Do you have any specific suggestions for improvements?","as nof now no, This is my first assessments ,may be later"
"3926","What additional features would you like to see?","same as above answer"
"3926","What other types of assessments would you like to see?","same as above answer"
"3926","Would you be interested in a verified micro certification?","frankly i dont know what is micro certification"
"3450","Please rate this assessment from one to five, five being the highest","4"
"3450","What did you love about Cloud Assessments and this assessment in particular?","Good"
"3450","Why did you rate it the way you did?","Good"
"3450","Did you understand what was expected of you (was the scenario clear)?","Yes"
"3450","Was the skill level appropriate for what we described?","Probably"
"3450","On a scale of one to ten, how likely are you to recommend this to your friends?","5"
"3450","Do you have any specific suggestions for improvements?","Nope"
"3450","What additional features would you like to see?","."
"3450","What other types of assessments would you like to see?","Many"
"3450","Would you be interested in a verified micro certification?","Maybe"
"3493","Please rate this assessment from one to five, five being the highest","5"
"3493","What did you love about Cloud Assessments and this assessment in particular?","good"
"3493","Why did you rate it the way you did?","li"
"3493","Did you understand what was expected of you (was the scenario clear)?","yes"
"3493","Was the skill level appropriate for what we described?","l1"
"3493","On a scale of one to ten, how likely are you to recommend this to your friends?","10"
"3493","Do you have any specific suggestions for improvements?","no"
"3493","What additional features would you like to see?","no"
"3493","What other types of assessments would you like to see?","yes"
"3493","Would you be interested in a verified micro certification?","yes"
"3783","Please rate this assessment from one to five, five being the highest","5"
"3783","What did you love about Cloud Assessments and this assessment in particular?","everything"
"3783","Why did you rate it the way you did?","it's awesome"
"3783","Did you understand what was expected of you (was the scenario clear)?","yes"
"3783","Was the skill level appropriate for what we described?","starter"
"3783","On a scale of one to ten, how likely are you to recommend this to your friends?","10"
"3783","Do you have any specific suggestions for improvements?","make labs available even if you did not try assessment"
"3783","What additional features would you like to see?","detailed explanation on where you got wrong"
"3783","What other types of assessments would you like to see?","API, CLI"
"3783","Would you be interested in a verified micro certification?","no"
"3917","Please rate this assessment from one to five, five being the highest","5"
"3917","What did you love about Cloud Assessments and this assessment in particular?","Straightforward instructions"
"3917","Why did you rate it the way you did?","It was an interesting experience"
"3917","Did you understand what was expected of you (was the scenario clear)?","Yes, I think so"
"3917","Was the skill level appropriate for what we described?","Certainly"
"3917","On a scale of one to ten, how likely are you to recommend this to your friends?","10"
"3917","Do you have any specific suggestions for improvements?","I would like to see a complete report of the assessment once it's finished"
"3917","What additional features would you like to see?","None so far, waiting to see what you guys come up with!"
"3917","What other types of assessments would you like to see?","SQS assessments, as it is the most difficult topic for me in AWS"
"3917","Would you be interested in a verified micro certification?","I couldn't say. Maybe, as small stepstones before obtaining a full certificate"
"3894","Please rate this assessment from one to five, five being the highest","5"
"3894","What did you love about Cloud Assessments and this assessment in particular?","real time experience"
"3894","Why did you rate it the way you did?","real time experience"
"3894","Did you understand what was expected of you (was the scenario clear)?","Yes"
"3894","Was the skill level appropriate for what we described?","Yes"
"3894","On a scale of one to ten, how likely are you to recommend this to your friends?","10"
"3894","Do you have any specific suggestions for improvements?","No"
"3894","What additional features would you like to see?","."
"3894","What other types of assessments would you like to see?","RD based"
"3894","Would you be interested in a verified micro certification?","Yes"
"3513","Please rate this assessment from one to five, five being the highest","5"
"3513","What did you love about Cloud Assessments and this assessment in particular?","Everything"
"3513","Why did you rate it the way you did?","I felt like it!"
"3513","Did you understand what was expected of you (was the scenario clear)?","Yes"
"3513","Was the skill level appropriate for what we described?","Yes"
"3513","On a scale of one to ten, how likely are you to recommend this to your friends?","10"
"3513","Do you have any specific suggestions for improvements?","Nope"
"3513","What additional features would you like to see?","None"
"3513","What other types of assessments would you like to see?","Everything!"
"3513","Would you be interested in a verified micro certification?","Yes"
"3489","Please rate this assessment from one to five, five being the highest","5"
"3489","What did you love about Cloud Assessments and this assessment in particular?","Real time Labs"
"3489","Why did you rate it the way you did?","Its hands on experience to work on aws"
"3489","Did you understand what was expected of you (was the scenario clear)?","Yes"
"3489","Was the skill level appropriate for what we described?","Yes"
"3489","On a scale of one to ten, how likely are you to recommend this to your friends?","9"
"3489","Do you have any specific suggestions for improvements?","No"
"3489","What additional features would you like to see?","More SysOps Associate Exam Assessments"
"3489","What other types of assessments would you like to see?","AWS SysOps"
"3489","Would you be interested in a verified micro certification?","Yes"
"3487","Please rate this assessment from one to five, five being the highest","5"
"3487","What did you love about Cloud Assessments and this assessment in particular?","good"
"3487","Why did you rate it the way you did?","excellent"
"3487","Did you understand what was expected of you (was the scenario clear)?","no"
"3487","Was the skill level appropriate for what we described?","good"
"3487","On a scale of one to ten, how likely are you to recommend this to your friends?","10"
"3487","Do you have any specific suggestions for improvements?","no"
"3487","What additional features would you like to see?","good"
"3487","What other types of assessments would you like to see?","good"
"3487","Would you be interested in a verified micro certification?","yes"
"3579","Please rate this assessment from one to five, five being the highest","5"
"3579","What did you love about Cloud Assessments and this assessment in particular?","testing prod "
"3579","Why did you rate it the way you did?","testing prod"
"3579","Did you understand what was expected of you (was the scenario clear)?","testing prod"
"3579","Was the skill level appropriate for what we described?","testing prod"
"3579","On a scale of one to ten, how likely are you to recommend this to your friends?","10"
"3579","Do you have any specific suggestions for improvements?","testing prod"
"3579","What additional features would you like to see?","testing prod"
"3579","What other types of assessments would you like to see?","testing prod"
"3579","Would you be interested in a verified micro certification?","testing prod"
"4057","Please rate this assessment from one to five, five being the highest","5"
"4057","What did you love about Cloud Assessments and this assessment in particular?","It feels like your putting your skills in to action"
"4057","Why did you rate it the way you did?","On hands experience and a goal to achieve"
"4057","Did you understand what was expected of you (was the scenario clear)?","yes"
"4057","Was the skill level appropriate for what we described?","VPC with public and private subents with access to the internet"
"4057","On a scale of one to ten, how likely are you to recommend this to your friends?","10"
"4057","Do you have any specific suggestions for improvements?","More technologies like red hat  and others."
"4057","What additional features would you like to see?","Clue bubbles maybe"
"4057","What other types of assessments would you like to see?","Maybe a way to see what u did wrong and how can you fix next time"
"4057","Would you be interested in a verified micro certification?","Yes"
"3593","Please rate this assessment from one to five, five being the highest","5"
"3593","What did you love about Cloud Assessments and this assessment in particular?","testing prod"
"3593","Why did you rate it the way you did?","testing prod"
"3593","Did you understand what was expected of you (was the scenario clear)?","testing prod"
"3593","Was the skill level appropriate for what we described?","testing prod"
"3593","On a scale of one to ten, how likely are you to recommend this to your friends?","10"
"3593","Do you have any specific suggestions for improvements?","testing prod"
"3593","What additional features would you like to see?","testing prod"
"3593","What other types of assessments would you like to see?","testing prod"
"3593","Would you be interested in a verified micro certification?","testing prod"
"3587","Please rate this assessment from one to five, five being the highest","5"
"3587","What did you love about Cloud Assessments and this assessment in particular?","adsdsafdfsa"
"3587","Why did you rate it the way you did?","adsfdasfs"
"3587","Did you understand what was expected of you (was the scenario clear)?","asdfdasf"
"3587","Was the skill level appropriate for what we described?","asdfdasf"
"3587","On a scale of one to ten, how likely are you to recommend this to your friends?","10"
"3587","Do you have any specific suggestions for improvements?","asdfdasf"
"3587","What additional features would you like to see?","asdfdasf"
"3587","What other types of assessments would you like to see?","asdfdasf"
"3587","Would you be interested in a verified micro certification?","asdfdasf"
"3531","Please rate this assessment from one to five, five being the highest","5"
"3531","What did you love about Cloud Assessments and this assessment in particular?","hands on lab experience"
"3531","Why did you rate it the way you did?","good hands on lab"
"3531","Did you understand what was expected of you (was the scenario clear)?","yes"
"3531","Was the skill level appropriate for what we described?","yes"
"3531","On a scale of one to ten, how likely are you to recommend this to your friends?","10"
"3531","Do you have any specific suggestions for improvements?","sysops labs"
"3531","What additional features would you like to see?","More SysOps Associate Exam Assessments"
"3531","What other types of assessments would you like to see?","Sysops labs"
"3531","Would you be interested in a verified micro certification?","Yes"
"3581","Please rate this assessment from one to five, five being the highest","5"
"3581","What did you love about Cloud Assessments and this assessment in particular?","adsf"
"3581","Why did you rate it the way you did?","adf"
"3581","Did you understand what was expected of you (was the scenario clear)?","aasdf"
"3581","Was the skill level appropriate for what we described?","asdf"
"3581","On a scale of one to ten, how likely are you to recommend this to your friends?","10"
"3581","Do you have any specific suggestions for improvements?","asdf"
"3581","What additional features would you like to see?","adsf"
"3581","What other types of assessments would you like to see?","adsf"
"3581","Would you be interested in a verified micro certification?","aasfda"
"3583","Please rate this assessment from one to five, five being the highest","5"
"3583","What did you love about Cloud Assessments and this assessment in particular?","test"
"3583","Why did you rate it the way you did?","test"
"3583","Did you understand what was expected of you (was the scenario clear)?","test"
"3583","Was the skill level appropriate for what we described?","test"
"3583","On a scale of one to ten, how likely are you to recommend this to your friends?","10"
"3583","Do you have any specific suggestions for improvements?","test"
"3583","What additional features would you like to see?","test"
"3583","What other types of assessments would you like to see?","test"
"3583","Would you be interested in a verified micro certification?","test"
"3530","Please rate this assessment from one to five, five being the highest","5"
"3530","What did you love about Cloud Assessments and this assessment in particular?","nbvnbvn"
"3530","Why did you rate it the way you did?","nbvnbn"
"3530","Did you understand what was expected of you (was the scenario clear)?","nbvnvn"
"3530","Was the skill level appropriate for what we described?","nbvnbn"
"3530","On a scale of one to ten, how likely are you to recommend this to your friends?","10"
"3530","Do you have any specific suggestions for improvements?","nbvn"
"3530","What additional features would you like to see?","nbvnv"
"3530","What other types of assessments would you like to see?","nbvn"
"3530","Would you be interested in a verified micro certification?","nbvn"
"3915","Please rate this assessment from one to five, five being the highest","5"
"3915","What did you love about Cloud Assessments and this assessment in particular?","Access to real environments to solve real problems"
"3915","Why did you rate it the way you did?","Very impressed by access to real training for nothing. "
"3915","Did you understand what was expected of you (was the scenario clear)?","Mostly "
"3915","Was the skill level appropriate for what we described?","Yes"
"3915","On a scale of one to ten, how likely are you to recommend this to your friends?","10"
"3915","Do you have any specific suggestions for improvements?","Load time is quite slow and tips that are show repeat quite often. "
"3915","What additional features would you like to see?","First time the grade didn't show me what I had missed, when scoring 70%"
"3915","What other types of assessments would you like to see?","Anything relevant to common best practise and real world solutions. "
"3915","Would you be interested in a verified micro certification?","Yes."
"3536","Please rate this assessment from one to five, five being the highest","5"
"3536","What did you love about Cloud Assessments and this assessment in particular?","Practicality"
"3536","Why did you rate it the way you did?","Very interactive, practical and well thought out"
"3536","Did you understand what was expected of you (was the scenario clear)?","Yes"
"3536","Was the skill level appropriate for what we described?","Yes"
"3536","On a scale of one to ten, how likely are you to recommend this to your friends?","10"
"3536","Do you have any specific suggestions for improvements?","Integrating more scenarios"
"3536","What additional features would you like to see?","Not at the moment"
"3536","What other types of assessments would you like to see?","Setting Up Application-level Features (e.g. SQS, SNS, SES, ...)"
"3536","Would you be interested in a verified micro certification?","Yes"
"4125","Please rate this assessment from one to five, five being the highest","5"
"4125","What did you love about Cloud Assessments and this assessment in particular?","test"
"4125","Why did you rate it the way you did?","test"
"4125","Did you understand what was expected of you (was the scenario clear)?","test"
"4125","Was the skill level appropriate for what we described?","test"
"4125","On a scale of one to ten, how likely are you to recommend this to your friends?","10"
"4125","Do you have any specific suggestions for improvements?","test"
"4125","What additional features would you like to see?","test"
"4125","What other types of assessments would you like to see?","t"
"4125","Would you be interested in a verified micro certification?","test"
"3514","Please rate this assessment from one to five, five being the highest","4"
"3514","What did you love about Cloud Assessments and this assessment in particular?","Extensive VPC & related component familiarization"
"3514","Why did you rate it the way you did?","Some room for improvement on impact of choices"
"3514","Did you understand what was expected of you (was the scenario clear)?","Yes"
"3514","Was the skill level appropriate for what we described?","Yes"
"3514","On a scale of one to ten, how likely are you to recommend this to your friends?","9"
"3514","Do you have any specific suggestions for improvements?","Utilize at least one public ec2 and one private ec2 so that impact of these actions is experienced by test taker"
"3514","What additional features would you like to see?","See previous"
"3514","What other types of assessments would you like to see?","Red Hat cert training"
"3514","Would you be interested in a verified micro certification?","Sure"
"3533","Please rate this assessment from one to five, five being the highest","5"
"3533","What did you love about Cloud Assessments and this assessment in particular?","Real world scenario based questions and grading on your deployment capability."
"3533","Why did you rate it the way you did?","I like the cloudassessment approach to learning the AWS platform by using a customer requirement and grading the deployed solution."
"3533","Did you understand what was expected of you (was the scenario clear)?","The only bit that was unclear was if previous versions were also required to be deleted at set intervals. Assumed this was yes and lifecycle management rules were set to include previous versions."
"3533","Was the skill level appropriate for what we described?","yes"
"3533","On a scale of one to ten, how likely are you to recommend this to your friends?","10"
"3533","Do you have any specific suggestions for improvements?","Not at this stage, more than happy to provide further feedback once more content is available."
"3533","What additional features would you like to see?","None that I can think of at this time."
"3533","What other types of assessments would you like to see?","ECS, ElastiCache, EMR and Redshift.  A security troubleshooting scenario would be good."
"3533","Would you be interested in a verified micro certification?","yes"
"3636","Please rate this assessment from one to five, five being the highest","5"
"3636","What did you love about Cloud Assessments and this assessment in particular?","test"
"3636","Why did you rate it the way you did?","test"
"3636","Did you understand what was expected of you (was the scenario clear)?","test"
"3636","Was the skill level appropriate for what we described?","test"
"3636","On a scale of one to ten, how likely are you to recommend this to your friends?","10"
"3636","Do you have any specific suggestions for improvements?","test"
"3636","What additional features would you like to see?","test"
"3636","What other types of assessments would you like to see?","test"
"3636","Would you be interested in a verified micro certification?","test"
"3557","Please rate this assessment from one to five, five being the highest","5"
"3557","What did you love about Cloud Assessments and this assessment in particular?","good"
"3557","Why did you rate it the way you did?","3"
"3557","Did you understand what was expected of you (was the scenario clear)?","4"
"3557","Was the skill level appropriate for what we described?","good"
"3557","On a scale of one to ten, how likely are you to recommend this to your friends?","10"
"3557","Do you have any specific suggestions for improvements?","good"
"3557","What additional features would you like to see?","good"
"3557","What other types of assessments would you like to see?","good"
"3557","Would you be interested in a verified micro certification?","good"
"3607","Please rate this assessment from one to five, five being the highest","5"
"3607","What did you love about Cloud Assessments and this assessment in particular?","test"
"3607","Why did you rate it the way you did?","test"
"3607","Did you understand what was expected of you (was the scenario clear)?","test"
"3607","Was the skill level appropriate for what we described?","test"
"3607","On a scale of one to ten, how likely are you to recommend this to your friends?","10"
"3607","Do you have any specific suggestions for improvements?","test"
"3607","What additional features would you like to see?","test"
"3607","What other types of assessments would you like to see?","test"
"3607","Would you be interested in a verified micro certification?","test"
"3555","Please rate this assessment from one to five, five being the highest","5"
"3555","What did you love about Cloud Assessments and this assessment in particular?","very relevant techniques needed to complete the assessment"
"3555","Why did you rate it the way you did?","it's a very good assessment"
"3555","Did you understand what was expected of you (was the scenario clear)?","yes"
"3555","Was the skill level appropriate for what we described?","yes"
"3555","On a scale of one to ten, how likely are you to recommend this to your friends?","9"
"3555","Do you have any specific suggestions for improvements?","no"
"3555","What additional features would you like to see?","notifications"
"3555","What other types of assessments would you like to see?","DynamoDB"
"3555","Would you be interested in a verified micro certification?","sure"
"3635","Please rate this assessment from one to five, five being the highest","1"
"3635","What did you love about Cloud Assessments and this assessment in particular?","test"
"3635","Why did you rate it the way you did?","test"
"3635","Did you understand what was expected of you (was the scenario clear)?","test"
"3635","Was the skill level appropriate for what we described?","test"
"3635","On a scale of one to ten, how likely are you to recommend this to your friends?","1"
"3635","Do you have any specific suggestions for improvements?","test"
"3635","What additional features would you like to see?","test"
"3635","What other types of assessments would you like to see?","test"
"3635","Would you be interested in a verified micro certification?","test"
"3492","Please rate this assessment from one to five, five being the highest","5"
"3492","What did you love about Cloud Assessments and this assessment in particular?","hands on labs"
"3492","Why did you rate it the way you did?","Its hands on experience to work on aws s3"
"3492","Did you understand what was expected of you (was the scenario clear)?","yes"
"3492","Was the skill level appropriate for what we described?","yes"
"3492","On a scale of one to ten, how likely are you to recommend this to your friends?","10"
"3492","Do you have any specific suggestions for improvements?","No such"
"3492","What additional features would you like to see?","SysOps labs"
"3492","What other types of assessments would you like to see?","SysOps "
"3492","Would you be interested in a verified micro certification?","Yes"
"3532","Please rate this assessment from one to five, five being the highest","5"
"3532","What did you love about Cloud Assessments and this assessment in particular?","a"
"3532","Why did you rate it the way you did?","a"
"3532","Did you understand what was expected of you (was the scenario clear)?","a"
"3532","Was the skill level appropriate for what we described?","a"
"3532","On a scale of one to ten, how likely are you to recommend this to your friends?","10"
"3532","Do you have any specific suggestions for improvements?","a"
"3532","What additional features would you like to see?","a"
"3532","What other types of assessments would you like to see?","a"
"3532","Would you be interested in a verified micro certification?","a"
"3584","Please rate this assessment from one to five, five being the highest","5"
"3584","What did you love about Cloud Assessments and this assessment in particular?","testing prod"
"3584","Why did you rate it the way you did?","testing prod"
"3584","Did you understand what was expected of you (was the scenario clear)?","testing prod"
"3584","Was the skill level appropriate for what we described?","testing prod"
"3584","On a scale of one to ten, how likely are you to recommend this to your friends?","10"
"3584","Do you have any specific suggestions for improvements?","testing prod"
"3584","What additional features would you like to see?","testing prod"
"3584","What other types of assessments would you like to see?","testing prod"
"3584","Would you be interested in a verified micro certification?","testing prod"
"3582","Please rate this assessment from one to five, five being the highest","1"
"3582","What did you love about Cloud Assessments and this assessment in particular?","test"
"3582","Why did you rate it the way you did?","test"
"3582","Did you understand what was expected of you (was the scenario clear)?","test"
"3582","Was the skill level appropriate for what we described?","test"
"3582","On a scale of one to ten, how likely are you to recommend this to your friends?","1"
"3582","Do you have any specific suggestions for improvements?","test"
"3582","What additional features would you like to see?","test"
"3582","What other types of assessments would you like to see?","test"
"3582","Would you be interested in a verified micro certification?","test"
"3605","Please rate this assessment from one to five, five being the highest","5"
"3605","What did you love about Cloud Assessments and this assessment in particular?","test"
"3605","Why did you rate it the way you did?","test"
"3605","Did you understand what was expected of you (was the scenario clear)?","test"
"3605","Was the skill level appropriate for what we described?","test"
"3605","On a scale of one to ten, how likely are you to recommend this to your friends?","10"
"3605","Do you have any specific suggestions for improvements?","test"
"3605","What additional features would you like to see?","test"
"3605","What other types of assessments would you like to see?","test"
"3605","Would you be interested in a verified micro certification?","test"
"3498","Please rate this assessment from one to five, five being the highest","2"
"3498","What did you love about Cloud Assessments and this assessment in particular?","Well it was fun but I think the VPC might of had some issues I was trying to debug it."
"3498","Why did you rate it the way you did?","Because I felt like the set up might have had an issue with it."
"3498","Did you understand what was expected of you (was the scenario clear)?","Yes for the most part"
"3498","Was the skill level appropriate for what we described?","Yeah"
